Control_of_Corruption,Poverty_Headcount_Ratio,Year,Voice_Accountability,Regulatory_Quality,Govt_Expenditure_perc_GDP,FDI_Inflows_perc_GDP,Rule_of_Law,Country,Government_Effectiveness,GDP_Growth_annual_perc,External_Debt_perc_GNI,Political_Stability,Risk_Category,Voice_Accountability_flag,Political_Stability_flag,Government_Effectiveness_flag,Regulatory_Quality_flag,Rule_of_Law_flag,Control_of_Corruption_flag,total_flags,corruption_risk,Year_numeric
0.0570844486355782,,2010,-0.49994820356369,0.611249983310699,18.2319253890148,4.26864663854031,0.39389044046402,Malaysia,1.04647839069366,7.42484738326097,,0.143352136015892,High-Risk,1,1,1,1,1,1,6,1,2010
0.022571574896574,0.4,2011,-0.474874913692474,0.547134578227997,19.7347795900774,5.07446032143377,0.402631521224976,Malaysia,0.98675674200058,5.29391283414003,,0.0774097666144371,High-Risk,1,1,1,1,1,1,6,1,2011
0.213312953710556,,2012,-0.346539199352264,0.477169960737228,20.9798770041143,2.82905738174529,0.379769444465637,Malaysia,0.906338155269623,5.47345419253853,,-0.0052124024368822,High-Risk,1,1,1,1,1,1,6,1,2012
0.333269119262695,0.1,2013,-0.339791119098663,0.567808210849762,20.6021204303102,3.49431175959971,0.341337561607361,Malaysia,0.993431925773621,4.69372252557893,,0.0517915934324265,High-Risk,1,1,1,1,1,1,6,1,2013
0.396519064903259,,2014,-0.360449194908142,0.799231290817261,19.6835443850248,3.14122940365348,0.524089753627777,Malaysia,1.14593541622162,6.00672194558203,,0.266619145870209,High-Risk,1,1,1,1,1,1,6,1,2014
0.181636169552803,0.1,2015,-0.391403198242188,0.704775094985962,18.2910432040136,3.27094402931735,0.402504026889801,Malaysia,0.91708517074585,5.09153242155011,,0.25394731760025,High-Risk,1,1,1,1,1,1,6,1,2015
0.0274246502667665,,2016,-0.416713893413544,0.663995385169983,16.7638213141114,4.47130958598651,0.387877881526947,Malaysia,0.817718744277954,4.44978139761541,,0.129485934972763,High-Risk,1,1,1,1,1,1,6,1,2016
-0.0060947239398956,,2017,-0.398660808801651,0.671388506889343,15.8258190286835,2.9358203805856,0.388218402862549,Malaysia,0.77773243188858,5.81272240983328,,0.111209630966187,High-Risk,1,1,1,1,1,1,6,1,2017
0.299851536750793,0.0,2018,-0.099500760436058,0.575907409191132,15.9220579344968,2.31458721219734,0.529206156730652,Malaysia,1.05388987064362,4.84308697634881,,0.248113676905632,High-Risk,1,1,1,1,1,1,6,1,2018
0.232962101697922,,2019,-0.0477054789662361,0.547572374343872,17.3574598059896,2.50697705748044,0.4915691614151,Malaysia,0.967774987220764,4.41318742129586,,0.14648012816906,High-Risk,1,1,1,1,1,1,6,1,2019
