/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 11:42:08,584 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:10,586 - INFO - fetching articles for Canada (2017-04-01 to 2017-06-30)
2025-11-16 11:42:12,007 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:14,014 - INFO - fetching articles for Canada (2017-07-01 to 2017-09-30)
2025-11-16 11:42:15,087 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:17,094 - INFO - fetching articles for Canada (2017-10-01 to 2017-12-31)
2025-11-16 11:42:17,680 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:19,689 - INFO - ✓ completed Canada 2017
2025-11-16 11:42:19,689 - INFO - using gdelt api for Canada 2018
2025-11-16 11:42:19,689 - INFO - fetching articles for Canada (2018-01-01 to 2018-03-31)
2025-11-16 11:42:20,642 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:22,647 - INFO - fetching articles for Canada (2018-04-01 to 2018-06-30)
2025-11-16 11:42:23,737 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:25,745 - INFO - fetching articles for Canada (2018-07-01 to 2018-09-30)
2025-11-16 11:42:27,023 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:29,029 - INFO - fetching articles for Canada (2018-10-01 to 2018-12-31)
2025-11-16 11:42:29,797 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:31,804 - INFO - ✓ completed Canada 2018
2025-11-16 11:42:31,804 - INFO - using gdelt api for Canada 2019
2025-11-16 11:42:31,804 - INFO - fetching articles for Canada (2019-01-01 to 2019-03-31)
2025-11-16 11:42:32,736 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:34,744 - INFO - fetching articles for Canada (2019-04-01 to 2019-06-30)
2025-11-16 11:42:35,575 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:37,583 - INFO - fetching articles for Canada (2019-07-01 to 2019-09-30)
2025-11-16 11:42:39,322 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:41,328 - INFO - fetching articles for Canada (2019-10-01 to 2019-12-31)
2025-11-16 11:42:42,711 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:44,716 - INFO - ✓ completed Canada 2019
2025-11-16 11:42:44,716 - INFO - using gdelt api for Canada 2020
2025-11-16 11:42:44,716 - INFO - fetching articles for Canada (2020-01-01 to 2020-03-31)
2025-11-16 11:42:45,615 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:47,624 - INFO - fetching articles for Canada (2020-04-01 to 2020-06-30)
2025-11-16 11:42:48,475 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:50,480 - INFO - fetching articles for Canada (2020-07-01 to 2020-09-30)
2025-11-16 11:42:52,142 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:54,148 - INFO - fetching articles for Canada (2020-10-01 to 2020-12-31)
2025-11-16 11:42:54,901 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:56,908 - INFO - ✓ completed Canada 2020
2025-11-16 11:42:56,908 - INFO - using gdelt api for Canada 2021
2025-11-16 11:42:56,908 - INFO - fetching articles for Canada (2021-01-01 to 2021-03-31)
2025-11-16 11:42:57,665 - INFO - fetched 100 articles for Canada
2025-11-16 11:42:59,671 - INFO - fetching articles for Canada (2021-04-01 to 2021-06-30)
2025-11-16 11:43:01,059 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:03,067 - INFO - fetching articles for Canada (2021-07-01 to 2021-09-30)
2025-11-16 11:43:04,728 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:06,735 - INFO - fetching articles for Canada (2021-10-01 to 2021-12-31)
2025-11-16 11:43:09,466 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:11,476 - INFO - ✓ completed Canada 2021
2025-11-16 11:43:11,476 - INFO - using gdelt api for Canada 2022
2025-11-16 11:43:11,476 - INFO - fetching articles for Canada (2022-01-01 to 2022-03-31)
2025-11-16 11:43:12,495 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:14,502 - INFO - fetching articles for Canada (2022-04-01 to 2022-06-30)
2025-11-16 11:43:15,688 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:17,695 - INFO - fetching articles for Canada (2022-07-01 to 2022-09-30)
2025-11-16 11:43:18,886 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:20,895 - INFO - fetching articles for Canada (2022-10-01 to 2022-12-31)
2025-11-16 11:43:25,081 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:27,091 - INFO - ✓ completed Canada 2022
2025-11-16 11:43:27,091 - INFO - using gdelt api for Canada 2023
2025-11-16 11:43:27,091 - INFO - fetching articles for Canada (2023-01-01 to 2023-03-31)
2025-11-16 11:43:27,828 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:29,836 - INFO - fetching articles for Canada (2023-04-01 to 2023-06-30)
2025-11-16 11:43:31,943 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:33,950 - INFO - fetching articles for Canada (2023-07-01 to 2023-09-30)
2025-11-16 11:43:35,572 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:37,579 - INFO - fetching articles for Canada (2023-10-01 to 2023-12-31)
2025-11-16 11:43:38,712 - INFO - fetched 100 articles for Canada
2025-11-16 11:43:40,720 - INFO - ✓ completed Canada 2023
2025-11-16 11:43:40,720 - INFO - using gdelt api for Denmark 2017
2025-11-16 11:43:40,720 - INFO - fetching articles for Denmark (2017-01-01 to 2017-03-31)
2025-11-16 11:43:42,430 - INFO - fetched 100 articles for Denmark
2025-11-16 11:43:44,437 - INFO - fetching articles for Denmark (2017-04-01 to 2017-06-30)
2025-11-16 11:43:45,261 - INFO - fetched 100 articles for Denmark
2025-11-16 11:43:47,266 - INFO - fetching articles for Denmark (2017-07-01 to 2017-09-30)
2025-11-16 11:43:49,812 - INFO - fetched 100 articles for Denmark
2025-11-16 11:43:51,820 - INFO - fetching articles for Denmark (2017-10-01 to 2017-12-31)
2025-11-16 11:43:52,471 - INFO - fetched 100 articles for Denmark
2025-11-16 11:43:54,479 - INFO - ✓ completed Denmark 2017
2025-11-16 11:43:54,479 - INFO - using gdelt api for Denmark 2018
2025-11-16 11:43:54,480 - INFO - fetching articles for Denmark (2018-01-01 to 2018-03-31)
2025-11-16 11:43:55,609 - INFO - fetched 100 articles for Denmark
2025-11-16 11:43:57,616 - INFO - fetching articles for Denmark (2018-04-01 to 2018-06-30)
2025-11-16 11:43:58,280 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:00,289 - INFO - fetching articles for Denmark (2018-07-01 to 2018-09-30)
2025-11-16 11:44:01,346 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:03,355 - INFO - fetching articles for Denmark (2018-10-01 to 2018-12-31)
2025-11-16 11:44:04,405 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:06,414 - INFO - ✓ completed Denmark 2018
2025-11-16 11:44:06,415 - INFO - using gdelt api for Denmark 2019
2025-11-16 11:44:06,415 - INFO - fetching articles for Denmark (2019-01-01 to 2019-03-31)
2025-11-16 11:44:07,731 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:09,739 - INFO - fetching articles for Denmark (2019-04-01 to 2019-06-30)
2025-11-16 11:44:10,740 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:12,746 - INFO - fetching articles for Denmark (2019-07-01 to 2019-09-30)
2025-11-16 11:44:14,036 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:16,041 - INFO - fetching articles for Denmark (2019-10-01 to 2019-12-31)
2025-11-16 11:44:16,890 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:18,901 - INFO - ✓ completed Denmark 2019
2025-11-16 11:44:18,902 - INFO - using gdelt api for Denmark 2020
2025-11-16 11:44:18,902 - INFO - fetching articles for Denmark (2020-01-01 to 2020-03-31)
2025-11-16 11:44:20,130 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:22,135 - INFO - fetching articles for Denmark (2020-04-01 to 2020-06-30)
2025-11-16 11:44:22,921 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:24,928 - INFO - fetching articles for Denmark (2020-07-01 to 2020-09-30)
2025-11-16 11:44:25,650 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:27,657 - INFO - fetching articles for Denmark (2020-10-01 to 2020-12-31)
2025-11-16 11:44:28,651 - INFO - fetched 100 articles for Denmark
2025-11-16 11:44:30,657 - INFO - ✓ completed Denmark 2020
2025-11-16 11:44:30,657 - INFO - using gdelt api for Denmark 2021
2025-11-16 11:44:30,657 - INFO - fetching articles for Denmark (2021-01-01 to 2021-03-31)
2025-11-16 11:44:31,402 - INFO - fetched 100 articles for Denmark
