/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 13:19:44,032 - INFO - fetched 100 articles for Canada
2025-11-16 13:19:47,040 - INFO - fetching articles for Canada (2017-07-01 to 2017-09-30) [attempt 1/3]
2025-11-16 13:19:47,828 - INFO - fetched 100 articles for Canada
2025-11-16 13:19:50,836 - INFO - fetching articles for Canada (2017-10-01 to 2017-12-31) [attempt 1/3]
2025-11-16 13:19:51,409 - INFO - fetched 100 articles for Canada
2025-11-16 13:19:54,419 - INFO - ✓ completed Canada 2017 (1600 articles)
2025-11-16 13:19:54,419 - INFO - using gdelt api for Canada 2018
2025-11-16 13:19:54,419 - INFO - fetching articles for Canada (2018-01-01 to 2018-03-31) [attempt 1/3]
2025-11-16 13:19:55,206 - INFO - fetched 100 articles for Canada
2025-11-16 13:19:58,214 - INFO - fetching articles for Canada (2018-04-01 to 2018-06-30) [attempt 1/3]
2025-11-16 13:19:59,261 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:02,268 - INFO - fetching articles for Canada (2018-07-01 to 2018-09-30) [attempt 1/3]
2025-11-16 13:20:03,362 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:06,365 - INFO - fetching articles for Canada (2018-10-01 to 2018-12-31) [attempt 1/3]
2025-11-16 13:20:08,167 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:11,179 - INFO - ✓ completed Canada 2018 (1600 articles)
2025-11-16 13:20:11,180 - INFO - using gdelt api for Canada 2019
2025-11-16 13:20:11,180 - INFO - fetching articles for Canada (2019-01-01 to 2019-03-31) [attempt 1/3]
2025-11-16 13:20:11,972 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:14,974 - INFO - fetching articles for Canada (2019-04-01 to 2019-06-30) [attempt 1/3]
2025-11-16 13:20:15,704 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:18,710 - INFO - fetching articles for Canada (2019-07-01 to 2019-09-30) [attempt 1/3]
2025-11-16 13:20:19,476 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:22,483 - INFO - fetching articles for Canada (2019-10-01 to 2019-12-31) [attempt 1/3]
2025-11-16 13:20:23,170 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:26,177 - INFO - ✓ completed Canada 2019 (1600 articles)
2025-11-16 13:20:26,177 - INFO - using gdelt api for Canada 2020
2025-11-16 13:20:26,177 - INFO - fetching articles for Canada (2020-01-01 to 2020-03-31) [attempt 1/3]
2025-11-16 13:20:26,802 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:29,809 - INFO - fetching articles for Canada (2020-04-01 to 2020-06-30) [attempt 1/3]
2025-11-16 13:20:30,326 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:33,331 - INFO - fetching articles for Canada (2020-07-01 to 2020-09-30) [attempt 1/3]
2025-11-16 13:20:34,293 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:37,300 - INFO - fetching articles for Canada (2020-10-01 to 2020-12-31) [attempt 1/3]
2025-11-16 13:20:38,075 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:41,086 - INFO - ✓ completed Canada 2020 (1600 articles)
2025-11-16 13:20:41,086 - INFO - using gdelt api for Canada 2021
